id,name,latitude,longitude,v_grade,a_grade,commitment,quality,pitches,longest_pitch,hours,rock_type,wetsuits,alt_names,sources,description
207,Wave,-32.97385125,150.3527943,,,,,,,,Sandstone,,,,
208,Wayper,-30.257,152.9157,3.0,3.0,2.0,2.6,13.0,30.0,10.0,,,,,
209,Whip Bird,-33.39225586,150.3552199,,,,,4.0,25.0,,Sandstone,,,,
210,Whirlpool,-33.48210341,150.3406557,,,,,,25.0,,Sandstone,,,,
211,Whores Bed,-33.72345457,150.2868376,,,,,,,,Sandstone,,,,
212,Whungee Wheengee,-33.4757,150.3742,2.0,2.0,,4.0,7.0,15.0,,Sandstone,5.0,"{""alternative_names"": [""The Green Room""]}",,
213,Williams River,-32.0756,151.4851,3.0,4.0,5.0,3.0,1.0,50.0,12.0,,,,,
214,Windows,-33.21677,150.2457434,,,,,6.0,50.0,,Sandstone,,,,
215,Wollangambe One,-33.48880159,150.3587429,,,,2.5,0.0,0.0,7.0,Sandstone,5.0,,,
216,Wollangambe Two,-33.48731972,150.3738518,,,,3.0,0.0,0.0,8.0,Sandstone,5.0,,,
217,Wotta,-33.554,150.3279,3.0,2.0,3.0,3.0,3.0,25.0,,Sandstone,,,,
218,Wowsers,-33.13417189,150.344774,,,,3.5,6.0,35.0,12.0,Sandstone,3.0,,,
219,Yileen,-33.56661052,150.3294504,4.0,2.0,2.0,3.0,6.0,50.0,3.5,Schist,4.0,,"{""ropewiki"": ""https://ropewiki.com/Yileen"", ""OzUltimate"": ""https://ozultimate.com/canyoning/track_notes/yileen.htm"", ""Canyons Near Sydney Guidebook"": null}",
220,Zorro,-33.29336464,150.2036161,,,,,,,,Sandstone,,,,
221,Oronga,-33.57659350451626,150.3548312187195,4.0,2.0,,,3.0,45.0,,Sandstone,,,"{""ropewiki"": ""https://ropewiki.com/Oronga_Canyon""}",
222,Explorers Brook,-33.58850796938019,150.4155778884888,,,,,,,,,,"{""alternative_names"": [""Mt Caley"", ""Buramin""]}","{""Tom Brennan Trip Report"": ""https://ozultimate.com/canyoning/reports/2015/20150117_explorers_brook/report.htm"", ""Canyons Near Sydney Guidebook"": null}",
223,David Crevasse,-33.60641679218232,150.37815570831302,,,,,6.0,25.0,,,1.0,,"{""Canyons Near Sydney Guidebook"": null}",
224,Bells Grotto,-33.24023096254452,150.22579550743106,,,,,0.0,0.0,2.0,,1.0,"{""alternative_names"": [""Glow-Worm Tunnel"", ""Tunnel Creek""]}","{""Canyons Near Sydney Guidebook"": null, ""ropewiki"": ""https://ropewiki.com/Glowworm_Tunnel_Canyon""}",
225,Carrabeanga Falls,-33.938980770882544,150.10959148406985,,,,,20.0,50.0,48.0,,1.0,"{""alternative_names"": [""Carra Beanga Falls""]}","{""OzUltimate"": ""https://ozultimate.com/canyoning/track_notes/carrabeanga.htm"", ""Canyons Near Sydney Guidebook"": null}",
226,Davies,-33.92454213698328,150.11190891265872,,,,,11.0,50.0,48.0,,2.0,"{""alternative_names"": [""Sally Camp Creek""]}","{""OzUltimate"": ""https://ozultimate.com/canyoning/track_notes/davies.htm"", ""Canyons Near Sydney Guidebook"": null}",
227,Wheengee Whungee Creek,-34.01979897799736,150.0663757324219,,,,,,,60.0,,,,"{""Canyons Near Sydney Guidebook"": null}",
228,Middle Chistys Creek,-34.008095595916274,150.0951719284058,,,,,9.0,50.0,48.0,,,,"{""Canyons Near Sydney Guidebook"": null}",
229,Arabanoo,-33.98987922131758,150.11229515075686,,,,,,50.0,,,,"{""alternative_names"": [""East Christys Creek""]}","{""Canyons Near Sydney Guidebook"": null}",
230,Bindook Chasm,-34.1775,150.0854,3.0,2.0,,,4.0,50.0,6.0,Basalt,4.0,,"{""ropewiki"": ""https://ropewiki.com/Bindook_Chasm"", ""Canyons Near Sydney Guidebook"": null}",
